Tijdstip vanaf,762-BPH Rhijnspoorplein 1.Electra hoofdmeter (kWh),Vergeleken vanaf 1-1-2019 00:00 - 762-BPH Rhijnspoorplein 1.Electra hoofdmeter (kWh)
01/01/2018 00:00,66256.7,72223.8
01/02/2018 00:00,66896.1,63209.3
01/03/2018 00:00,70395.5,70920.8
01/04/2018 00:00,63430.7,64673.7
01/05/2018 00:00,68092,65200.1
01/06/2018 00:00,74965.3,70405.4
01/07/2018 00:00,74061.4,62305.6
01/08/2018 00:00,64209.1,59607.1
01/09/2018 00:00,72522.7,69624.5
01/10/2018 00:00,69540.5,63741.9
01/11/2018 00:00,69896.3,63035.6
